Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Регулон таблетки 21 шт,"Гедеон Рихтер, ВенгрияДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,605 ₽,https://366.ru/p/regulon-tab-p-pl-ob-21-8878/,https://media.366.ru/sys_master/product/h76/hcd/8817353719838.jpg
Регулон таблетки 63 шт,"Гедеон Рихтер, ВенгрияДезогестрел + Этинилэстрадиол",Дезогестрел + Этинилэстрадиол,None,1 415 ₽,https://366.ru/p/regulon-tab-p-pl-ob-21kh3-8879/,https://media.366.ru/sys_master/product/h4c/h86/8818072322078.jpg
Ригевидон таблетки 63 шт,"Гедеон Рихтер, ВенгрияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,893 ₽,https://366.ru/p/rigevidon-tab-0-03mg-0-15mg-21kh3-9004/,https://media.366.ru/sys_master/product/h2e/h89/8818438537246.jpg
Три-регол таблетки 63 шт,"Гедеон Рихтер, ВенгрияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,985 ₽,https://366.ru/p/triregol-tab-p-o-21kh3-10319/,https://media.366.ru/sys_master/product/he3/hdf/8815849209886.jpg
Фарматекс крем вагинальный 72 г,"Innothera Chouzy, ФранцияБензалкония хлорид",Бензалкония хлорид,None,636 ₽,https://366.ru/p/farmateks-vag-krem-1-2-72g-10541/,https://media.366.ru/sys_master/product/hf5/h4f/8846623571998.jpg
Флагил суппозитории вагинальные 500мг N10,"САНОФИ, ФранцияМетронидазол",Метронидазол,None,1 098 ₽,https://366.ru/p/flagil-supp-vag-500mg-10-10710/,https://media.366.ru/sys_master/product/h7c/ha9/8821398077470.jpg
Цикло-прогинова драже 21 шт,"БАЙЕР, ГерманияНоргестрел + Эстрадиол",Норгестрел + Эстрадиол,None,1 031 ₽,https://366.ru/p/cikloproginova-drazhe-nabor-21-11097/,https://media.366.ru/sys_master/product/h09/h37/8815882731550.jpg
Чарозетта таблетки 28 шт,"МСД ФАРМАСЬЮТИКАЛС, НидерландыДезогестрел",Дезогестрел,None,1 676 ₽,https://366.ru/p/charozetta-tab-p-pl-ob-0-075mg-28-11349/,https://media.366.ru/sys_master/product/hfc/h1c/8815888990238.jpg
Эпиген Интим спрей 60 мл,"ИНВАР, ИспанияАммония глицирризинат",Аммония глицирризинат,None,3 265 ₽,https://366.ru/p/epigen-intim-sprej-0-1-60ml-11814/,https://media.366.ru/sys_master/product/he6/he8/8815901245470.jpg
Три-регол таблетки 21 шт,"Гедеон Рихтер, ВенгрияЛевоноргестрел + Этинилэстрадиол",Левоноргестрел + Этинилэстрадиол,None,379 ₽,https://366.ru/p/triregol-tab-p-o-21-12135/,https://media.366.ru/sys_master/product/h8a/hfd/8817404739614.jpg
Ноноксинол суппозитории вагинальные 10 шт,"АЛЬТФАРМ, РоссияНоноксинол",Ноноксинол,None,534 ₽,https://366.ru/p/nonoksinol-supp-vag-120mg-10-12242/,https://media.366.ru/sys_master/product/h4d/h6c/8818478219294.jpg
Тантум Роза порошок 500 мг 10 шт,"АНДЖЕЛИНИ ФРАНЧЕСКО, ИталияБензидамин",Бензидамин,None,629 ₽,https://366.ru/p/tantum-roza-por-500mg-10-12939/,https://media.366.ru/sys_master/product/hc1/h55/9883946123294.png
Полижинакс капсулы вагинальные 12 шт,"Innothera Chouzy, ФранцияНеомицин + Нистатин + Полимиксин B",Неомицин + Нистатин + Полимиксин B,None,820 ₽,https://366.ru/p/polizhinaks-vag-kaps-12-13450/,https://media.366.ru/sys_master/product/hdd/h1d/8815920349214.jpg
Клион Д 100 таблетки вагинальные 10 шт,"Гедеон Рихтер, РоссияМетронидазол + Миконазол",Метронидазол + Миконазол,None,545 ₽,https://366.ru/p/klion-d-tab-vag-10-13468/,https://media.366.ru/sys_master/product/h75/h88/8818128191518.jpg
