Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
"Мяты перечной листья фильтр-пакет 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияМяты перечной листья",Мяты перечной листья,None,72 ₽,https://366.ru/p/mjaty-perechnoj-listja-f-p-1-5g-20-6719/,https://media.366.ru/sys_master/product/h43/hea/8817307713566.jpg
"Мята перечная листья 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияМяты перечной листья",Мяты перечной листья,None,118 ₽,https://366.ru/p/mjaty-perechnoj-listja-f-p-1-5g-20-6720/,https://media.366.ru/sys_master/product/h78/h96/9718550691870.png
Пижма цветки 75 г,"ЕВРОПЛАНТ, РоссияПижмы обыкновенной цветки",Пижмы обыкновенной цветки,None,104 ₽,https://366.ru/p/pizhmy-cvetki-75g-7714/,https://media.366.ru/sys_master/product/hf3/h20/9718551150622.png
Подорожник большой листья 50 г,"ИВАН-ЧАЙ, РоссияПодорожника большого листья",Подорожника большого листья,None,85 ₽,https://366.ru/p/podorozhnika-listja-50g-8046/,https://media.366.ru/sys_master/product/he7/hbf/8817341726750.jpg
"Подорожника листья фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияПодорожника большого листья",Подорожника большого листья,None,102 ₽,https://366.ru/p/podorozhnika-listja-f-p-1-5g-20-8052/,https://media.366.ru/sys_master/product/h08/h3f/9718551609374.png
Полынь горькая трава 50 г,"ИВАН-ЧАЙ, РоссияПолыни горькой трава",Полыни горькой трава,None,129 ₽,https://366.ru/p/polyni-trava-50g-8118/,https://media.366.ru/sys_master/product/h29/hbb/8817343430686.jpg
"Почечный чай листья фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияОртосифона тычиночного листья",Ортосифона тычиночного листья,None,143 ₽,https://366.ru/p/pochechnyj-chaj-f-p-1-5g-20-ortosifon-8162/,https://media.366.ru/sys_master/product/h51/hb6/9718552068126.png
"Пустырник трава фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияПустырника трава",Пустырника трава,None,125 ₽,https://366.ru/p/pustyrnika-trava-f-p-1-5g-20-8737/,https://media.366.ru/sys_master/product/h67/hf5/9718552526878.png
Ромашка цветки 50 г,"ЕВРОПЛАНТ, РоссияРомашки аптечной цветки",Ромашки аптечной цветки,None,112 ₽,https://366.ru/p/romashki-cvetki-50g-9055/,https://media.366.ru/sys_master/product/hfb/h26/9718552985630.png
"Ромашка цветки фильтр-пакет 1,5 г 20 шт","ЕВРОПЛАНТ, РоссияРомашки аптечной цветки",Ромашки аптечной цветки,None,97 ₽,https://366.ru/p/romashki-cvetki-f-p-1-5g-20-9063/,https://media.366.ru/sys_master/product/hed/hd9/9718553444382.jpg
Сенна листья 50 г,"ИВАН-ЧАЙ, РоссияСенны остролистной листья",Сенны остролистной листья,None,63 ₽,https://366.ru/p/senny-listja-50g-9286/,https://media.366.ru/sys_master/product/h4c/hef/8817361518622.jpg
Сенна листья 50 г,"ЕВРОПЛАНТ, РоссияСенны остролистной листья",Сенны остролистной листья,None,96 ₽,https://366.ru/p/senny-listja-50g-9290/,https://media.366.ru/sys_master/product/h75/h0e/9718553903134.png
"Сенна листья фильтр-пакет 1,5 г 20 шт","ИВАН-ЧАЙ, РоссияСенны остролистной листья",Сенны остролистной листья,None,76 ₽,https://366.ru/p/senny-listja-f-p-1-5g-20-9292/,https://media.366.ru/sys_master/product/h70/h23/8817361879070.jpg
