Название,Производитель,Содержание,Количество на складе,Цена,Ссылка,Ссылка на изображение
Динамико таблетки 100 мг 1 шт,"ТЕВА, ХорватияСилденафил",Силденафил,None,677 ₽,https://366.ru/p/dinamiko-tab-p-pl-ob-100mg-1-36412/,https://media.366.ru/sys_master/product/hae/hb1/8825894830110.jpg
Динамико таблетки 50 мг 4 шт,"ТЕВА, ХорватияСилденафил",Силденафил,None,990 ₽,https://366.ru/p/dinamiko-tab-p-pl-ob-50mg-4-36411/,https://media.366.ru/sys_master/product/he6/h06/8825894469662.jpg
Динамико таблетки 50 мг 1 шт,"ТЕВА, ХорватияСилденафил",Силденафил,None,576 ₽,https://366.ru/p/dinamiko-tab-p-pl-ob-50mg-1-36410/,https://media.366.ru/sys_master/product/h97/h70/8818212143134.jpg
Динамико таблетки 100 мг 4 шт,"ТЕВА, ХорватияСилденафил",Силденафил,None,1 198 ₽,https://366.ru/p/dinamiko-tab-p-pl-ob-100mg-4-36413/,https://media.366.ru/sys_master/product/h05/he6/8816375955486.jpg
Спазмекс таблетки 30 мг 30 шт,"Д-Р Р. ПФЛЕГЕР, ГерманияТроспия хлорид",Троспия хлорид,None,792 ₽,https://366.ru/p/spazmeks-tab-p-pl-ob-30mg-30-37489/,https://media.366.ru/sys_master/product/h00/hac/8818649563166.jpg
"Фокусин капсулы с модиф. высвоб. 0,4мг N30","САНОФИ, ЧехияТамсулозин",Тамсулозин,None,557 ₽,https://366.ru/p/fokusin-kaps-s-modificir-vysv-0-4mg-30-37901/,https://media.366.ru/sys_master/product/h56/hcd/8816422780958.jpg
"Фокусин капсулы с модиф.высв. 0,4мг N90","САНОФИ, СловакияТамсулозин",Тамсулозин,None,1 116 ₽,https://366.ru/p/fokusin-kaps-s-modificir-vysv-0-4mg-90-37902/,https://media.366.ru/sys_master/product/h12/hd9/8816423272478.jpg
"Аводарт капсулы 0,5мг N30","GlaxoSmith Kline Healthcare, ФранцияДутастерид",Дутастерид,None,2 372 ₽,https://366.ru/p/avodart-kaps-0-5mg-30-39122/,https://media.366.ru/sys_master/product/haa/h1c/8820985069598.jpg
"Аводарт капсулы 0,5 мг 90 шт","GlaxoSmith Kline Healthcare, ФранцияДутастерид",Дутастерид,None,4 795 ₽,https://366.ru/p/avodart-kaps-0-5mg-90-39139/,https://media.366.ru/sys_master/product/h92/h1a/8818223382558.jpg
"Профлосин капсулы пролонгированного действия 0,4 мг 30 шт","Berlin-Chemie, ГерманияТамсулозин",Тамсулозин,None,357 ₽,https://366.ru/p/proflosin-kaps-kishechn-prolong-0-4mg-30-39440/,https://media.366.ru/sys_master/product/h2b/hb0/8826063159326.jpg
"Сонирид дуо капсулы 0,4мг+5мг N60","Гедеон Рихтер, ВенгрияТамсулозин + Финастерид [набор]",Тамсулозин + Финастерид [набор],None,1 233 ₽,https://366.ru/p/sonirid-duo-kaps-0-4mg-tab-5mg-60-39614/,https://media.366.ru/sys_master/product/hed/h84/8818648186910.jpg
Доксазозин-OBL таблетки 2мг N30,"ОБОЛЕНСКОЕ ФП, РоссияДоксазозин",Доксазозин,None,174 ₽,https://366.ru/p/doksazozinobl-tab-2mg-30-39650/,https://media.366.ru/sys_master/product/he6/hec/8820818313246.jpg
Кетостерил таблетки 50 мг 100 шт,"ФРЕЗЕНИУС, ПортугалияКетоаналоги аминокислот",Кетоаналоги аминокислот,None,3 315 ₽,https://366.ru/p/ketosteril-tab-p-pl-ob-100-40593/,https://media.366.ru/sys_master/product/h22/h8a/8816545366046.jpg
Финастерид-OBL таблетки 5мг N30,"ОБОЛЕНСКОЕ ФП, РоссияФинастерид",Финастерид,None,270 ₽,https://366.ru/p/finasteridobl-tab-p-pl-ob-5mg-30-40758/,https://media.366.ru/sys_master/product/h75/h89/8821175222302.jpg
Урорек капсулы 4 мг 30 шт,"РУСФИК, ИталияСилодозин",Силодозин,None,1 126 ₽,https://366.ru/p/urorek-kaps-4mg-30-40825/,https://media.366.ru/sys_master/product/h8c/he5/8816568008734.jpg
Визарсин таблетки 100 мг 4 шт,"KRKA, СловенияСилденафил",Силденафил,None,1 044 ₽,https://366.ru/p/vizarsin-tab-p-pl-ob-100mg-4-43615/,https://media.366.ru/sys_master/product/h28/hbb/8818384175134.jpg
